,rxn_id,predicted
0,0,9.622918
1,1,9.511159
2,2,9.256123
3,3,10.629174
4,4,16.011724
5,5,16.319035
6,6,16.749603
7,7,23.545832
8,8,10.201439
9,9,-17.914146
10,10,9.723417
11,11,2.9006815
12,12,11.091522
13,13,7.814184
14,14,8.525799
15,15,7.6504636
16,16,14.019365
17,17,16.79242
18,18,8.789138
19,19,5.7057247
20,20,5.7057247
21,21,10.254046
22,22,8.125033
23,23,19.448994
24,24,20.208694
25,25,8.866441
26,26,37.882923
27,27,7.1912704
28,28,7.95533
29,29,10.413591
30,30,8.81719
31,31,17.328382
32,32,12.823562
33,33,8.411961
34,34,20.803314
35,35,20.881578
36,36,12.707063
37,37,13.604411
38,38,16.733625
39,39,13.167333
40,40,8.787467
41,41,13.733341
42,42,7.76056
43,43,8.211566
44,44,7.0648994
45,45,4.900344
46,46,8.666433
47,47,14.417666
48,48,10.360822
49,49,11.652296
50,50,11.209759
51,51,11.615492
52,52,10.794442
53,53,7.496018
54,54,7.347909
55,55,9.196898
56,56,9.214332
57,57,8.985958
58,58,13.527495
59,59,8.744589
60,60,8.8832655
61,61,10.3871155
62,62,-66.901855
63,63,7.3080335
64,65,9.474552
65,66,11.112708
66,67,11.984637
67,68,6.755545
68,69,-1.9567287
69,70,19.93016
70,71,15.174296
71,72,10.897086
72,73,11.211753
73,74,13.318606
74,75,15.696356
75,76,7.218611
76,78,8.277591
77,79,8.497143
78,80,8.840089
79,81,8.84566
80,82,12.027467
81,83,12.427105
82,84,9.320243
83,85,23.752905
84,86,12.066636
85,87,8.929376
86,89,8.65747
87,90,7.1724114
88,91,8.332029
89,92,8.682815
90,94,5.6008983
91,95,5.8593326
92,96,15.557034
93,97,7.3608766
94,98,10.3599415
95,99,6.446324
96,100,7.689876
97,101,11.895263
98,103,13.211567
99,104,14.160237
100,105,14.724851
101,106,8.052797
102,107,13.947826
103,108,9.360957
104,109,3.0864923
105,110,20.011229
106,111,17.11438
107,112,17.292301
108,113,18.037827
109,114,10.466938
110,115,9.244564
111,116,14.56015
112,117,12.716552
113,118,12.391589
114,119,9.128404
115,120,17.081728
116,121,8.22722
117,122,2.4255738
118,123,11.619301
119,124,2.1450548
120,125,11.045483
121,126,5.994976
122,127,3.9093263
123,128,3.2008522
124,129,12.901854
125,130,13.541535
126,131,11.851841
127,132,11.645071
128,133,12.371692
129,134,3.5469584
