,rxn_id,predicted
0,0,6.2130175
1,1,48.834877
2,2,42.601463
3,3,6.565257
4,4,22.06241
5,5,12.646214
6,6,33.604332
7,7,3.4991713
8,8,56.050236
9,9,56.050236
10,10,17.063381
11,11,19.798931
12,12,67.472984
13,13,52.492817
14,14,50.631542
15,15,48.42309
16,16,35.455544
17,17,24.522358
18,18,51.556652
19,19,0.60711193
20,20,6.2169456
21,21,27.194344
22,22,17.156189
23,23,36.85333
24,24,-12.511648
25,25,10.727577
26,26,10.727577
27,27,27.894472
28,28,45.227604
29,29,18.37792
30,30,48.884132
31,31,48.884132
32,32,32.734447
33,33,32.734447
34,34,42.246006
35,35,31.003195
36,36,31.003195
37,37,52.590733
38,38,-0.14068317
39,39,6.9632
40,40,52.168274
41,41,52.168274
42,42,43.15608
43,43,61.205036
44,44,61.205036
45,45,29.987047
46,46,24.874598
47,47,3.527379
48,48,40.462032
49,49,52.638874
50,50,44.710667
51,51,31.819706
52,52,29.83552
53,53,24.850452
54,54,24.559874
55,55,13.932644
56,56,43.0763
57,57,7.9953213
58,58,7.9953213
59,59,37.401394
60,60,22.278881
61,61,22.278881
62,62,56.59577
63,63,5.315862
64,64,41.37458
65,65,30.561563
66,66,29.380854
67,67,101.39276
68,68,19.67331
69,69,3.3289442
70,70,3.3289442
71,72,61.56992
72,73,70.43603
73,74,61.56992
74,75,47.746464
75,76,3.5089183
76,77,26.586147
77,78,32.82739
78,79,40.04255
79,80,32.929585
80,81,32.929585
81,82,11.050438
82,83,35.301643
83,84,38.950867
84,85,31.52778
85,86,-5.644669
86,87,38.554802
87,88,34.80683
88,89,48.830452
89,90,35.60228
90,91,53.611538
91,92,21.877728
92,93,30.88213
93,94,49.96735
94,95,15.936537
95,96,31.52778
96,97,32.63944
97,98,40.84327
98,99,-21.963013
99,100,55.13349
100,101,38.923927
101,102,46.849983
102,103,23.563183
103,104,55.29722
104,105,49.96735
105,106,23.563183
106,107,38.923927
107,108,-2.7101493
108,109,30.88213
109,110,38.554802
110,111,55.29722
111,112,30.3058
112,113,35.60228
113,114,21.877728
114,115,51.769634
115,116,15.315121
116,117,15.315121
117,118,70.08394
118,119,70.08394
119,120,54.57867
120,121,22.73384
121,122,-1.6883788
122,123,11.569349
123,124,2.476218
124,126,22.280537
125,127,25.89621
126,128,25.89621
127,129,42.84174
128,131,52.080097
129,132,22.353771
130,133,52.31762
131,134,52.31762
132,135,4.796315
133,136,22.366976
134,137,22.366976
135,138,33.86948
136,139,54.653942
137,140,37.598713
138,141,61.962494
139,142,28.610117
140,143,17.883163
141,144,28.610117
142,145,12.499963
143,146,12.499963
144,147,21.698395
145,149,20.119316
146,150,32.88344
147,151,24.23098
148,152,49.369736
149,153,49.369736
150,154,37.763
151,155,77.150116
152,156,57.08863
153,157,10.601076
154,158,22.650549
155,159,45.470154
156,160,10.503952
157,161,79.98955
158,162,80.27707
159,163,65.42839
160,164,34.663895
161,165,44.918007
162,166,44.918007
163,167,18.985079
164,168,15.447371
165,169,-12.040043
166,170,-2.0259876
167,171,-0.9732485
168,172,35.72086
169,173,28.102785
170,174,88.72241
171,175,9.362458
172,176,48.3494
173,177,25.283306
174,178,-1.5813036
175,179,45.00252
176,180,6.740848
177,181,6.740848
178,182,6.704209
179,183,41.724854
180,184,51.217545
181,185,-13.523164
182,186,-13.523164
183,187,84.32797
184,188,84.32797
185,189,-0.6054568
186,190,-0.6054568
187,191,34.962765
188,192,30.405424
189,193,55.905025
190,194,30.027489
191,195,40.48385
192,196,73.21225
193,197,33.47645
194,198,73.21225
195,199,49.672646
196,200,35.04288
197,201,-3.0959558
198,202,-3.2133713
199,203,14.8780365
200,204,-6.678446
201,205,65.72864
202,206,-0.8832178
203,207,9.146546
204,208,23.404554
205,209,9.211332
206,210,9.211332
207,211,4.0193834
208,212,13.026472
209,213,5.289148
210,214,1.9585409
211,215,7.2638516
212,216,5.2232127
213,217,4.672138
214,218,19.78275
215,219,10.277512
216,220,3.2880306
217,221,9.865045
218,222,12.506613
219,223,0.89590454
220,224,25.007458
221,225,49.6589
222,226,19.933903
223,227,26.113201
224,228,26.113201
225,229,71.6099
226,230,22.486614
227,231,2.7475233
228,232,35.762127
229,233,31.389614
230,234,31.389614
231,235,36.718395
232,236,36.718395
233,237,34.997326
234,238,71.418655
235,239,30.95953
236,240,28.11045
237,241,22.347265
238,242,22.347265
