,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([C:2]([C:3]1=[C:4]([C:5]([H:40])([H:41])[H:42])[C:6]([H:43])([H:44])[N:7]([C:8](=[O:9])[N:10]([C:11]([C:12]([c:13]2[c:14]([H:50])[c:15]([H:51])[c:16]([S:17](=[O:18])(=[O:19])[N:20]([C:21](=[O:22])[N:23]([C:24]3([H:54])[C:25]([H:55])([H:56])[C:26]([H:57])([H:58])[C:27]([C:28]([H:60])([H:61])[H:62])([H:59])[C:29]([H:63])([H:64])[C:30]3([H:65])[H:66])[H:53])[H:52])[c:31]([H:67])[c:32]2[H:68])([H:48])[H:49])([H:46])[H:47])[H:45])[C:33]1=[O:34])([H:38])[H:39])([H:35])([H:36])[H:37],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68]]",23.2
1,1,1,[C:1]([C:2]([C@@:3]([N:4]([C:5]1=[C:6]([N:7]([c:8]2[c:9]([H:38])[c:10]([H:39])[c:11]([H:40])[c:12]([C:13](=[O:14])[N:15]([C:16]([H:41])([H:42])[H:43])[C:17]([H:44])([H:45])[H:46])[c:18]2[O:19][H:47])[H:37])[C:20](=[O:21])[C:22]1=[O:23])[H:36])([C:24]1=[C:25]([H:48])[C:26]([H:49])=[C:27]([C:28]([H:50])([H:51])[H:52])[O:29]1)[H:35])([H:33])[H:34])([H:30])([H:31])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]]",75.93
2,2,2,[C:1]([C:2]([C:3]([H:29])([H:30])[H:31])([C:4]([H:32])([H:33])[H:34])[N:5]([C:6](=[O:7])[N:8]([C:9]([C:10]([N:11]1[C:12]([H:41])([H:42])[C:13]([N:14]([C:15](=[O:16])[c:17]2[c:18]([H:45])[c:19]([Cl:20])[c:21]([H:46])[c:22]([Cl:23])[c:24]2[H:47])[H:44])([H:43])[C:25]1([H:48])[H:49])([H:39])[H:40])([H:37])[H:38])[H:36])[H:35])([H:26])([H:27])[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49]]",3.31
3,3,3,[C:1]([C:2]([O:3][c:4]1[c:5]([H:32])[c:6]([H:33])[c:7]([N:8]([C:9](=[O:10])[C:11]([C:12]([C:13]2=[C:23]([C:24]([H:45])([H:46])[H:47])[N:22]3[C:17](=[N:18][C:19]([C:20]([H:42])([H:43])[H:44])=[N:21]3)[N:16]=[C:14]2[C:15]([H:39])([H:40])[H:41])([H:37])[H:38])([H:35])[H:36])[H:34])[c:25]([H:48])[c:26]1[H:49])([H:30])[H:31])([H:27])([H:28])[H:29],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49]]",4.17
4,4,4,[C:1]([O:2][c:3]1[c:4]([H:29])[c:5]([H:30])[c:6]([N:7]([C:8](=[O:9])[C:10]([C:11]([C:12]2=[C:22]([C:23]([H:42])([H:43])[H:44])[N:21]3[C:16](=[N:17][C:18]([C:19]([H:39])([H:40])[H:41])=[N:20]3)[N:15]=[C:13]2[C:14]([H:36])([H:37])[H:38])([H:34])[H:35])([H:32])[H:33])[H:31])[c:24]([H:45])[c:25]1[H:46])([H:26])([H:27])[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46]]",3.09
5,5,5,[C:1]([C:2]([C:3]([S:4][C:5]1=[C:6]([C:7](=[O:8])[N:9]([C:10]2([H:36])[C:11]([H:37])([H:38])[C:12]([H:39])([H:40])[C:13]([H:41])([H:42])[C:14]([H:43])([H:44])[C:15]2([H:45])[H:46])[H:35])[C:16]([H:47])=[N:17][N:18]1[c:19]1[c:20]([H:48])[c:21]([H:49])[c:22]([H:50])[c:23]([C:24](=[O:25])[O:26][H:51])[c:27]1[H:52])([H:33])[H:34])([H:31])[H:32])([H:28])([H:29])[H:30],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]]",16.98
6,6,6,[C:1]([C:2]([N:3]([C:4]([C:5]([H:31])([H:32])[H:33])([H:29])[H:30])[C:6]([C:7]([N:8]1[c:9]2[c:10]([H:38])[c:11]([H:39])[c:12]([H:40])[c:13]([H:41])[c:14]2-[c:15]2[c:16]([H:42])[n:17][c:18]([N:19]([H:43])[H:44])[c:20]([C:21]#[N:22])[c:23]21)([H:36])[H:37])([H:34])[H:35])([H:27])[H:28])([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]]",77.0
7,7,7,[O:1]=[C:2]1[N:3]([H:35])[c:4]2[c:5]([O:6][H:36])[c:7]([H:37])[c:8]([H:38])[c:9]([C@@:10]([O:11][H:40])([C:12]([N:13]([C:14]([C:15]([C:16]([S:17][C:18]([C:19]([O:20][C:21]([C:22]([c:23]3[c:24]([H:58])[c:25]([H:59])[c:26]([H:60])[c:27]4[c:28]([H:61])[c:29]([H:62])[c:30]([H:63])[c:31]([H:64])[c:32]34)([H:56])[H:57])([H:54])[H:55])([H:52])[H:53])([H:50])[H:51])([H:48])[H:49])([H:46])[H:47])([H:44])[H:45])[H:43])([H:41])[H:42])[H:39])[c:33]2[S:34]1,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]]",14.78
8,8,8,[O:1]=[C:2]1[N:3]([H:35])[c:4]2[c:5]([O:6][H:36])[c:7]([H:37])[c:8]([H:38])[c:9]([C@@:10]([O:11][H:40])([C:12]([N:13]([C:14]([C:15]([C:16]([S:17][C:18]([C:19]([O:20][C:21]([C:22]([c:23]3[c:24]([H:58])[c:25]([H:59])[c:26]([H:60])[c:27]4[c:28]([H:61])[c:29]([H:62])[c:30]([H:63])[c:31]([H:64])[c:32]34)([H:56])[H:57])([H:54])[H:55])([H:52])[H:53])([H:50])[H:51])([H:48])[H:49])([H:46])[H:47])([H:44])[H:45])[H:43])([H:41])[H:42])[H:39])[c:33]2[S:34]1,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]]",85.0
9,9,9,[C:1]([C:2]([C@@:3]1([O:4][H:37])[C:5](=[O:6])[O:7][C:8]([H:38])([H:39])[C:9]2=[C:10]1[C:11]([H:40])=[C:12]1[N:13]([C:14]2=[O:15])[C:16]([H:41])([H:42])[c:17]2[c:18]([H:43])[c:19]3[c:20]([C:21]([N:22]([C:23]([H:46])([H:47])[H:48])[C:24]([H:49])([H:50])[H:51])([H:44])[H:45])[c:25]([O:26][H:52])[c:27]([H:53])[c:28]([H:54])[c:29]3[n:30][c:31]21)([H:35])[H:36])([H:32])([H:33])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54]]",3.24
