,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[O:1]=[C:2]([O:3][H:27])[C:4]([C:5]([c:6]1[c:7]([H:32])[c:8]([H:33])[c:9]([O:10][C:11]([c:12]2[c:13]([H:36])[c:14]([H:37])[c:15]([H:38])[c:16]([O:17][c:18]3[c:19]([H:39])[c:20]([H:40])[c:21]([H:41])[c:22]([H:42])[c:23]3[H:43])[c:24]2[H:44])([H:34])[H:35])[c:25]([H:45])[c:26]1[H:46])([H:30])[H:31])([H:28])[H:29],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46]]",4.9
1,1,1,[C:1]([O:2][c:3]1[c:4]([H:24])[c:5]([H:25])[c:6]([H:26])[c:7]2[c:20]1[N:19]=[C:9]([N:10]([C:11](=[O:12])[c:13]1[c:14]([H:28])[c:15]([H:29])[c:16]([H:30])[c:17]([H:31])[c:18]1[H:32])[H:27])[S:8]2)([H:21])([H:22])[H:23],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]]",74.0
2,2,2,[O:1]=[C:2]([N:3]([C:4]1=[N:5][c:6]2[c:7]([H:20])[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]2[S:12]1)[H:19])[c:13]1[c:14]([H:24])[c:15]([H:25])[c:16]([H:26])[c:17]([H:27])[c:18]1[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]]",150.0
3,3,3,[C:1]([O:2][c:3]1[c:4]([H:33])[c:5]([H:34])[c:6]([H:35])[c:7]([H:36])[c:8]1[C:9]([N:10]1[C:11](=[O:12])[c:13]2[c:14]([H:39])[c:15]([H:40])[c:16]([H:41])[c:17]([H:42])[c:18]2[C:19]1([C:20](=[O:21])[N:22]([C:23]1([H:45])[C:24]([H:46])([H:47])[C:25]([H:48])([H:49])[C:26]([C:27]([H:51])([H:52])[H:53])([H:50])[C:28]([H:54])([H:55])[C:29]1([H:56])[H:57])[H:44])[H:43])([H:37])[H:38])([H:30])([H:31])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",150.0
4,4,4,[N:1]#[C:2][c:3]1[c:4]([H:20])[c:5]([H:21])[c:6]([N:7]([c:8]2[n:9][c:10]([H:23])[c:11]([H:24])[c:12]([N:13]([C:14]3([H:26])[C:15]([H:27])([H:28])[C:16]3([H:29])[H:30])[H:25])[n:17]2)[H:22])[c:18]([H:31])[c:19]1[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]]",45.0
5,5,5,[C:1]([C:2]([C@:3]([C:4]([O:5][H:35])([H:33])[H:34])([N:6]([c:7]1[n:8][c:9]([N:10]([C:11]([c:12]2[c:13]([H:40])[c:14]([H:41])[c:15]([H:42])[c:16]([H:43])[c:17]2[H:44])([H:38])[H:39])[H:37])[c:18]2[c:25]([n:26]1)[N:21]([C:22]([C:23]([H:47])([H:48])[H:49])([C:24]([H:50])([H:51])[H:52])[H:46])[C:20]([H:45])=[N:19]2)[H:36])[H:32])([H:30])[H:31])([H:27])([H:28])[H:29],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]]",123.03
6,6,6,[C:1]([C@:2]([C:3]([O:4][H:29])([H:27])[H:28])([N:5]([c:6]1[n:7][c:8]([S:9][C:10]([C:11]2=[C:12]([H:33])[C:13]([H:34])=[C:14]([H:35])[O:15]2)([H:31])[H:32])[n:16][c:17]2[c:22]1[S:21][C:19]([N:20]([H:36])[H:37])=[N:18]2)[H:30])[H:26])([H:23])([H:24])[H:25],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37]]",5.0
7,7,7,[O:1]=[C:2]([N:3]([C:4]([C@@:5]([O:6][H:38])([C:7]([N:8]1[C:9]([H:41])([H:42])[C:10]([H:43])([H:44])[C:11]([O:12][c:13]2[c:14]([H:46])[c:15]([H:47])[c:16]([Cl:17])[c:18]([Cl:19])[c:20]2[H:48])([H:45])[C:21]([H:49])([H:50])[C:22]1([H:51])[H:52])([H:39])[H:40])[H:37])([H:35])[H:36])[H:34])[C:23]1=[N:24][N:25]([H:53])[C:26](=[O:27])[c:28]2[c:29]([H:54])[c:30]([H:55])[c:31]([H:56])[c:32]([H:57])[c:33]21,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",3.0
8,8,8,[C:1]([C:2]([C:3]([H:28])([H:29])[H:30])([C:4]([H:31])([H:32])[H:33])[N:5]([S:6](=[O:7])(=[O:8])[c:9]1[c:10]([H:35])[n:11][c:12]([H:36])[c:13]([C:14]2=[C:23]([H:41])[N:22]3[C:17](=[N:18][C:19]([N:20]([H:39])[H:40])=[N:21]3)[C:16]([H:38])=[C:15]2[H:37])[c:24]1[H:42])[H:34])([H:25])([H:26])[H:27],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42]]",3.0
9,9,9,[C:1]([N:2]([C:3](=[O:4])[N:5]([C:6]1=[N:28][N:27]2[C:8](=[N:7]1)[C:9]([H:34])=[C:10]([H:35])[C:11]([c:12]1[c:13]([H:36])[n:14][c:15]([H:37])[c:16]([S:17](=[O:18])(=[O:19])[N:20]([C:21]([C:22]([H:39])([H:40])[H:41])([C:23]([H:42])([H:43])[H:44])[C:24]([H:45])([H:46])[H:47])[H:38])[c:25]1[H:48])=[C:26]2[H:49])[H:33])[H:32])([H:29])([H:30])[H:31],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49]]",3.0
