,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([c:2]1[c:3]([H:23])[c:4]([C:5]([H:24])([H:25])[H:26])[n:6][c:7]([S:8][C:9]([C:10](=[O:11])[N:12]([C:13]2=[N:18][O:17][C:15]([C:16]([H:31])([H:32])[H:33])=[C:14]2[H:30])[H:29])([H:27])[H:28])[n:19]1)([H:20])([H:21])[H:22],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33]]",150.0
1,1,1,[C:1]([C:2]([C:3]([H:39])([H:40])[H:41])([C:4]([N:5]([c:6]1[n:7][c:8]([N:9]2[C:10]([H:45])([H:46])[C:11]([H:47])([H:48])[N:12]([C:13]([C:14]3([H:51])[C:15]([H:52])([H:53])[C:16]([H:54])([H:55])[C:17]([H:56])([H:57])[O:18][C:19]3([H:58])[H:59])([H:49])[H:50])[C:20]([H:60])([H:61])[C:21]2([H:62])[H:63])[n:22][c:23]([H:64])[c:24]1[C:25](=[O:26])[N:27]([C:28]([c:29]1[c:30]([H:68])[c:31]([H:69])[c:32]([H:70])[c:33]([H:71])[c:34]1[H:72])([H:66])[H:67])[H:65])[H:44])([H:42])[H:43])[H:38])([H:35])([H:36])[H:37],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72]]",95.5
2,2,2,[C:1]([N:2]([C:3]1=[N:4][c:5]2[c:6]([H:41])[c:7]([H:42])[c:8]([H:43])[c:9]([H:44])[c:10]2[N:11]1[C:12]([C:13]1=[C:17]([C:18](=[O:19])[N:20]2[C:21]([H:47])([H:48])[C@@:22]([O:23][H:50])([H:49])[C:24]([H:51])([H:52])[O:25]2)[C:16]2=[C:15]([S:14]1)[N:32]([C:33]([C:34]([C:35]([H:59])([H:60])[H:61])([C:36]([H:62])([H:63])[H:64])[H:58])([H:56])[H:57])[C:30](=[O:31])[N:28]([C:29]([H:53])([H:54])[H:55])[C:26]2=[O:27])([H:45])[H:46])[H:40])([H:37])([H:38])[H:39],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]]",20.0
3,3,3,[O:1]=[C:2](/[C:3](=[C:4](/[C:5]1=[C:6]([C:7](=[O:8])[O:9][H:28])[N:10]([H:29])[c:11]2[c:12]([H:30])[c:13]([Cl:14])[c:15]([H:31])[c:16]([Cl:17])[c:18]21)[H:27])[H:26])[N:19]([c:20]1[c:21]([H:33])[c:22]([H:34])[c:23]([H:35])[c:24]([H:36])[c:25]1[H:37])[H:32],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37]]",3.0
4,4,4,[C:1]([C:2]([C:3](=[O:4])[O:5][C@:6]1([H:27])[C:7]([H:28])([H:29])[C:8]([H:30])([H:31])[N+:9]([C:10]([H:32])([H:33])[H:34])([C:11]([H:35])([H:36])[H:37])[C:12]1([H:38])[H:39])([c:13]1[c:14]([H:40])[c:15]([H:41])[c:16]([H:42])[c:17]([H:43])[c:18]1[H:44])[C:19]1([H:45])[C:20]([H:46])([H:47])[C:21]([H:48])([H:49])[C:22]([H:50])([H:51])[C:23]1([H:52])[H:53])([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53]]",42.0
5,5,5,[C:1]([N+:2]1([C:3]([H:27])([H:28])[H:29])[C:4]([H:30])([H:31])[C:5]([H:32])([H:33])[C:6]([O:7][C:8](=[O:9])[C:10]([O:11][H:35])([c:12]2[c:13]([H:36])[c:14]([H:37])[c:15]([H:38])[c:16]([H:39])[c:17]2[H:40])[C:18]2([H:41])[C:19]([H:42])([H:43])[C:20]([H:44])([H:45])[C:21]([H:46])([H:47])[C:22]2([H:48])[H:49])([H:34])[C:23]1([H:50])[H:51])([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51]]",3.0
6,6,6,[C:1]([O:2][c:3]1[c:4]([H:37])[c:5]([H:38])[c:6]([Cl:7])[c:8]([H:39])[c:9]1[C:10](=[O:11])[N:12]([C:13]([C:14]([c:15]1[c:16]([H:45])[c:17]([H:46])[c:18]([S:19](=[O:20])(=[O:21])[N:22]([C:23](=[O:24])[N:25]([C:26]2([H:49])[C:27]([H:50])([H:51])[C:28]([H:52])([H:53])[C:29]([H:54])([H:55])[C:30]([H:56])([H:57])[C:31]2([H:58])[H:59])[H:48])[H:47])[c:32]([H:60])[c:33]1[H:61])([H:43])[H:44])([H:41])[H:42])[H:40])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61]]",22.0
7,7,7,[O:1]=[C:2]([N:3]([C:4]([C:5]1([O:6][H:32])[C:7]([H:33])([H:34])[C:8]([H:35])([H:36])[C:9]([H:37])([H:38])[C:10]([H:39])([H:40])[C:11]([H:41])([H:42])[C:12]1([H:43])[H:44])([H:30])[H:31])[H:29])[c:13]1[c:14]([H:45])[c:15](-[c:16]2[c:17]([H:46])[c:18]([H:47])[c:19]([H:48])[c:20]([H:49])[c:21]2[C:22](=[O:23])[O:24][H:50])[c:25]([H:51])[c:26]([H:52])[c:27]1[Cl:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]]",3.0
8,8,8,[C:1]([C@:2]1([H:28])[C:3]([H:29])([H:30])[N:4]([c:5]2[c:6]([H:31])[c:7]([H:32])[c:8]3[c:9]([n:10]2)[N:11]([H:33])[C:12](=[O:13])[C:14]([H:34])([H:35])[O:15]3)[C@@:16]([c:17]2[c:18]([H:37])[c:19]([H:38])[c:20]([H:39])[c:21]([H:40])[c:22]2[H:41])([H:36])[C:23]([H:42])([H:43])[O:24]1)([H:25])([H:26])[H:27],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43]]",11.75
9,9,9,[C:1]([O:2][c:3]1[c:4]([H:21])[c:5]([H:22])[c:6]2[c:7]([H:23])[c:8]([C@:9]([C:10]([H:25])([H:26])[H:27])([C:11](=[O:12])[O:13][H:28])[H:24])[c:14]([H:29])[c:15]([H:30])[c:16]2[c:17]1[H:31])([H:18])([H:19])[H:20],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]]",3.0
