,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([C@@:2]([C:3](=[O:4])[O:5][C@@:6]1([H:41])[C:7]([H:42])([H:43])[N+:8]2([C:9]([C:10]3=[N:20][O:19][C:12]([c:13]4[c:14]([H:47])[c:15]([H:48])[c:16]([H:49])[c:17]([H:50])[c:18]4[H:51])=[C:11]3[H:46])([H:44])[H:45])[C:21]([H:52])([H:53])[C:22]([H:54])([H:55])[C:23]1([H:56])[C:24]([H:57])([H:58])[C:25]2([H:59])[H:60])([c:26]1[c:27]([H:61])[c:28]([H:62])[c:29]([H:63])[c:30]([H:64])[c:31]1[H:65])[N:32]1[C:33]([H:66])([H:67])[C:34]([H:68])([H:69])[C:35]([H:70])([H:71])[C:36]([H:72])([H:73])[C:37]1([H:74])[H:75])([H:38])([H:39])[H:40],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75]]",150.0
1,1,1,[C:1]([C:2]1=[N:3][N:4]([c:5]2[c:6]([H:36])[c:7]([H:37])[c:8]([F:9])[c:10]([H:38])[c:11]2[H:39])[C:12]([N:13]([S:14](=[O:15])(=[O:16])[c:17]2[c:18]([H:41])[c:19]([H:42])[c:20]([H:43])[n:21][c:22]2[H:44])[H:40])=[C:23]1[C:24](=[O:25])[N:26]([C@@:27]([C:28]([H:47])([H:48])[H:49])([C:29]([C:30]([H:50])([H:51])[H:52])([C:31]([H:53])([H:54])[H:55])[C:32]([H:56])([H:57])[H:58])[H:46])[H:45])([H:33])([H:34])[H:35],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",3.0
2,2,2,[Cl:1][c:2]1[c:3]([H:18])[c:4]([H:19])[c:5]([H:20])[c:6]([H:21])[c:7]1[C:8]([N:9]1[C:10]([H:24])([H:25])[C:11]([H:26])([H:27])[C:12]2=[C:16]([C:15]([H:29])=[C:14]([H:28])[S:13]2)[C:17]1([H:30])[H:31])([H:22])[H:23],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]]",35.0
3,3,3,[C:1]([O:2][C:3](=[O:4])[C@:5]([c:6]1[c:7]([H:26])[c:8]([H:27])[c:9]([H:28])[c:10]([H:29])[c:11]1[Cl:12])([N:13]1[C:14]([H:30])([H:31])[C:15]([H:32])([H:33])[C:16]2=[C:20]([C:19]([H:35])=[C:18]([H:34])[S:17]2)[C:21]1([H:36])[H:37])[H:25])([H:22])([H:23])[H:24],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37]]",150.0
4,4,4,[C:1]([N:2]([C:3]([C:4]([C:5]([O:6][C:7]([C:8]([O:9][C:10]([C:11]([c:12]1[c:13]([H:48])[c:14]([H:49])[c:15]([H:50])[c:16]([H:51])[c:17]1[H:52])([H:46])[H:47])([H:44])[H:45])([H:42])[H:43])([H:40])[H:41])([H:38])[H:39])([H:36])[H:37])([H:34])[H:35])[C:18]([C:19]([c:20]1[c:21]([H:57])[c:22]([H:58])[c:23]([O:24][H:59])[c:25]2[c:30]1[S:29][C:27]([O:28][H:60])=[N:26]2)([H:55])[H:56])([H:53])[H:54])([H:31])([H:32])[H:33],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60]]",35.0
5,5,5,[O:1]([C:2]1=[N:3][c:4]2[c:5]([O:6][H:31])[c:7]([H:32])[c:8]([H:33])[c:9]([C:10]([C:11]([N:12]([C:13]([C:14]([C:15]([O:16][C:17]([C:18]([O:19][C:20]([C:21]([c:22]3[c:23]([H:53])[c:24]([H:54])[c:25]([H:55])[c:26]([H:56])[c:27]3[H:57])([H:51])[H:52])([H:49])[H:50])([H:47])[H:48])([H:45])[H:46])([H:43])[H:44])([H:41])[H:42])([H:39])[H:40])[H:38])([H:36])[H:37])([H:34])[H:35])[c:28]2[S:29]1)[H:30],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",21.0
6,6,6,[C:1]([C:2]1=[N:3][O:4][C:5]([N:6]([S:7](=[O:8])(=[O:9])[c:10]2[c:11]([H:23])[c:12]([H:24])[c:13]([N:14]([H:25])[H:26])[c:15]([H:27])[c:16]2[H:28])[H:22])=[C:17]1[C:18]([H:29])([H:30])[H:31])([H:19])([H:20])[H:21],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]]",3.0
7,7,7,[C:1]([C:2]1=[C:29]([C:30]([H:50])([H:51])[H:52])[c:28]2[c:4]([c:5]([H:35])[c:6]([H:36])[c:7]([C:8]3=[N:9][N:10]=[C:11]([S:12][C:13]([C:14](=[O:15])[N:16]4[C:17]([H:39])([H:40])[C:18]([H:41])([H:42])[C:19]([H:43])([H:44])[c:20]5[c:21]([H:45])[c:22]([H:46])[c:23]([H:47])[c:24]([H:48])[c:25]54)([H:37])[H:38])[O:26]3)[c:27]2[H:49])[N:3]1[H:34])([H:31])([H:32])[H:33],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]]",150.0
8,8,8,[C:1]([c:2]1[c:3]([H:42])[c:4]([H:43])[c:5]([N:6]([C:7](=[O:8])[c:9]2[c:10]([H:45])[c:11]([H:46])[c:12]([H:47])[c:13]([N:14]3[C:15]([H:48])([H:49])[C:16]([H:50])([H:51])[O:17][C:18]([H:52])([H:53])[C:19]3([H:54])[H:55])[c:20]2[H:56])[H:44])[c:21]([H:57])[c:22]1[N:23]([C:24](=[O:25])[c:26]1[c:27]([H:59])[c:28]([H:60])[c:29]([O:30][C:31]([C:32]2=[C:33]([H:63])[S:34][C:35]([H:64])=[N:36]2)([H:61])[H:62])[c:37]([H:65])[c:38]1[H:66])[H:58])([H:39])([H:40])[H:41],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66]]",23.0
9,9,9,[C:1]([C@@:2]([C:3](=[O:4])[N:5]([C:6]([C:7]([N:8]1[C:9]([H:36])([H:37])[C:10]([H:38])([H:39])[C:11]([H:40])([H:41])[C:12]1([H:42])[H:43])([H:34])[H:35])([H:32])[H:33])[H:31])([c:13]1[c:14]([H:44])[c:15]([H:45])[c:16]([O:17][S:18](=[O:19])(=[O:20])[C:21]([F:22])([F:23])[F:24])[c:25]([H:46])[c:26]1[H:47])[H:30])([H:27])([H:28])[H:29],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47]]",3.0
10,10,10,[C:1]([c:2]1[c:3]([H:38])[c:4]([C:5]([N:6]2[C:7]([H:41])([H:42])[C:8]([H:43])([H:44])[c:9]3[c:10]([H:45])[c:11]([H:46])[c:12]([H:47])[c:13]([H:48])[c:14]3[C:15]2([C:16](=[O:17])[N:18]([c:19]2[c:20]([H:51])[c:21]([H:52])[c:22]([Cl:23])[c:24]([H:53])[c:25]2[Cl:26])[H:50])[H:49])([H:39])[H:40])[c:27]([H:54])[c:28]([H:55])[c:29]1[O:30][C:31]([C:32](=[O:33])[O:34][H:58])([H:56])[H:57])([H:35])([H:36])[H:37],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",15.0
11,11,11,[C:1]([C@:2]12[C:3]([H:37])([H:38])[C:4]3=[C:15]([N:7]([c:8]4[c:9]([H:40])[c:10]([H:41])[c:11]([F:12])[c:13]([H:42])[c:14]4[H:43])[N:6]=[C:5]3[H:39])[C:16]([H:44])=[C:17]1[C:18]([H:45])([H:46])[C:19]([H:47])([H:48])[C@@:20]2([O:21][H:49])[C:22]([C:23]([c:24]1[c:25]([H:54])[c:26]([H:55])[c:27]([F:28])[c:29]([H:56])[c:30]1[C:31]([N:32]([H:57])[H:58])=[O:33])([H:52])[H:53])([H:50])[H:51])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",104.71
12,12,12,[C:1]([O:2][c:3]1[c:4]([H:30])[c:5]([H:31])[c:6]([H:32])[c:7]([N:8]([c:9]2[n:10][c:11]([N:12]([C:13]([C:14]3([H:37])[C:15]([H:38])([H:39])[C:16]([H:40])([H:41])[C:17]([H:42])([H:43])[O:18]3)([H:35])[H:36])[H:34])[c:19]3[c:20]([H:44])[c:21]([H:45])[c:22]([H:46])[c:23]([H:47])[c:24]3[n:25]2)[H:33])[c:26]1[H:48])([H:27])([H:28])[H:29],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48]]",112.2
13,13,13,[C:1]([O:2][c:3]1[c:4]2[c:8]([c:9]([H:22])[c:10]3[c:16]1[O:15][C:13](=[O:14])[C:12]([H:24])=[C:11]3[H:23])[C:7]([H:21])=[C:6]([H:20])[O:5]2)([H:17])([H:18])[H:19],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]]",6.0
14,14,14,[C:1]([C@:2]([C:3](=[O:4])[O:5][H:24])([c:6]1[c:7]([H:25])[c:8]([H:26])[c:9]([H:27])[c:10]([C:11](=[O:12])[c:13]2[c:14]([H:28])[c:15]([H:29])[c:16]([H:30])[c:17]([H:31])[c:18]2[H:32])[c:19]1[H:33])[H:23])([H:20])([H:21])[H:22],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33]]",3.0
15,15,15,[C:1]([C@@:2]([C:3](=[O:4])[O:5][H:24])([c:6]1[c:7]([H:25])[c:8]([H:26])[c:9]([H:27])[c:10]([C:11](=[O:12])[c:13]2[c:14]([H:28])[c:15]([H:29])[c:16]([H:30])[c:17]([H:31])[c:18]2[H:32])[c:19]1[H:33])[H:23])([H:20])([H:21])[H:22],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33]]",3.0
16,16,16,[O:1]([c:2]1[n:3][c:4](-[c:5]2[c:6]([H:19])[c:7]([H:20])[c:8]([H:21])[c:9]([H:22])[c:10]2[H:23])[n:11][c:12]2[c:13]([H:24])[c:14]([H:25])[c:15]([H:26])[c:16]([H:27])[c:17]12)[H:18],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27]]",150.0
