,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([C:2](=[O:3])[C:4]1=[C:5]([H:19])[c:6]2[c:7]([H:20])[c:8]([H:21])[c:9]([O:10][H:22])[c:11]([H:23])[c:12]2[O:13][C:14]1=[O:15])([H:16])([H:17])[H:18],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]]",28.18
1,1,1,[C:1]([C:2]([N:3]([C:4]([C:5]([H:27])([H:28])[H:29])([H:25])[H:26])[c:6]1[c:7]([H:30])[c:8]([H:31])[c:9]2[c:18]([c:19]1[H:36])[O:17][C:15](=[O:16])[C:11]([C:12]([C:13]([H:33])([H:34])[H:35])=[O:14])=[C:10]2[H:32])([H:23])[H:24])([H:20])([H:21])[H:22],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]]",120.23
2,2,2,[C:1]([O:2][c:3]1[c:4]2[c:8]([c:9]([H:22])[c:10]3[c:16]1[O:15][C:13](=[O:14])[C:12]([H:24])=[C:11]3[H:23])[C:7]([H:21])=[C:6]([H:20])[O:5]2)([H:17])([H:18])[H:19],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]]",6.0
3,3,3,[C:1]([C:2]1=[N:23][O:22][C:4]([C:5]([C:6]([C:7]([O:8][c:9]2[c:10]([Cl:11])[c:12]([H:34])[c:13]([C:14]3=[N:15][C:16]([H:35])([H:36])[C:17]([H:37])([H:38])[O:18]3)[c:19]([H:39])[c:20]2[Cl:21])([H:32])[H:33])([H:30])[H:31])([H:28])[H:29])=[C:3]1[H:27])([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]]",66.07
4,4,4,[C:1]([c:2]1[c:3]([H:29])[c:4]([H:30])[c:5]([H:31])[c:6]([H:32])[c:7]1/[N:8]=[N:9]/[c:10]1[c:11]([H:33])[c:12]([H:34])[c:13]([N:14]([C:15](=[O:16])[C:17]2=[C:18]([H:36])[C:19]([H:37])=[N:20][N:21]2[C:22]([H:38])([H:39])[H:40])[H:35])[c:23]([C:24]([H:41])([H:42])[H:43])[c:25]1[H:44])([H:26])([H:27])[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]]",4.0
5,5,5,[C:1]([C:2]1=[N:3][C:4]([C:5]([S:6][c:7]2[n:8][c:9]([N:10]([C@:11]([C:12]([H:31])([H:32])[H:33])([C:13]([O:14][H:36])([H:34])[H:35])[H:30])[H:29])[c:15]3[c:20]([n:21]2)[N:19]=[C:17]([N:18]([H:37])[H:38])[S:16]3)([H:27])[H:28])=[C:22]([H:39])[S:23]1)([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]]",3.0
6,6,6,[C:1]([C:2](=[O:3])[C:4]1=[C:5]([H:30])[N:6]([C:7]([c:8]2[c:9]([H:33])[c:10]([H:34])[c:11]([H:35])[c:12]([H:36])[c:13]2[H:37])([H:31])[H:32])[C:14](=[O:15])[N:16]([C:17]([c:18]2[c:19]([H:40])[c:20]([H:41])[c:21]([F:22])[c:23]([H:42])[c:24]2[H:43])([H:38])[H:39])[C:25]1=[O:26])([H:27])([H:28])[H:29],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43]]",33.11
7,7,7,[C:1]([c:2]1[c:3]([H:31])[c:4]([H:32])[c:5]([H:33])[c:6]([C:7]([N:8]2[C:9]([H:36])([H:37])[C:10]([H:38])([H:39])[C:11]3([C:12]([H:40])([H:41])[C:13]2([H:42])[H:43])[C:14]([H:44])([H:45])[C:15]([H:46])([H:47])[N:16]([C:17](=[O:18])[c:19]2[c:20]([H:48])[c:21]([H:49])[c:22]([H:50])[c:23]([H:51])[c:24]2[H:52])[C:25]([H:53])([H:54])[C:26]3([H:55])[H:56])([H:34])[H:35])[c:27]1[H:57])([H:28])([H:29])[H:30],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",13.5
8,8,8,[O:1]=[C:2]([c:3]1[c:4]([H:28])[c:5]([H:29])[c:6]([H:30])[c:7]([H:31])[c:8]1[H:32])[N:9]1[C:10]([H:33])([H:34])[C:11]([H:35])([H:36])[C:12]2([C:13]([H:37])([H:38])[C:14]([H:39])([H:40])[N:15]([C:16]([c:17]3[c:18]([H:43])[c:19]([H:44])[c:20]([H:45])[c:21]([Cl:22])[c:23]3[H:46])([H:41])[H:42])[C:24]([H:47])([H:48])[C:25]2([H:49])[H:50])[C:26]([H:51])([H:52])[C:27]1([H:53])[H:54],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54]]",5.0
9,9,9,[C:1]([c:2]1[c:3]([H:35])[c:4]([H:36])[c:5]([C:6](=[O:7])[N:8]([C:9]([C:10]([H:39])([H:40])[H:41])([C:11]([H:42])([H:43])[H:44])[H:38])[H:37])[c:12]([H:45])[c:13]1[N:14]1[C:15]([H:46])=[N:16][c:17]2[c:18]([H:47])[c:19]([H:48])[c:20]([N:21]3[C:22]([H:49])([H:50])[C:23]([H:51])([H:52])[N:24]([C:25]([H:53])([H:54])[H:55])[C:26]([H:56])([H:57])[C:27]3([H:58])[H:59])[c:28]([H:60])[c:29]2[C:30]1=[O:31])([H:32])([H:33])[H:34],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60]]",3.0
