,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[O:1]=[C:2]([O:3][H:31])[C:4]([O:5][c:6]1[c:7]([H:34])[c:8]([H:35])[c:9]([Cl:10])[c:11]([H:36])[c:12]1[C:13]([N:14]1[C:15]([H:39])([H:40])[C:16]([H:41])([H:42])[C:17]([H:43])([H:44])[N:18]([S:19](=[O:20])(=[O:21])[C:22]([c:23]2[c:24]([H:47])[c:25]([H:48])[c:26]([H:49])[c:27]([H:50])[c:28]2[H:51])([H:45])[H:46])[C:29]([H:52])([H:53])[C:30]1([H:54])[H:55])([H:37])[H:38])([H:32])[H:33],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55]]",5.0
1,1,1,[C:1]([C:2]([N:3]([C:4]([C:5]([H:31])([H:32])[H:33])([H:29])[H:30])[C:6]([C:7]([N:8]1[c:9]2[c:10]([H:38])[c:11]([H:39])[c:12]([H:40])[c:13]([H:41])[c:14]2-[c:15]2[c:16]([H:42])[n:17][c:18]([N:19]([H:43])[H:44])[c:20]([C:21]#[N:22])[c:23]21)([H:36])[H:37])([H:34])[H:35])([H:27])[H:28])([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]]",71.0
2,2,2,[C:1]([C:2]1=[C:7]([C:8]([N:9]2[C:10]([H:38])([H:39])[C:11]([H:40])([H:41])[N:12]([c:13]3[c:14]([H:42])[c:15]4[c:16]([c:17]([H:43])[c:18]3[F:19])[C:20](=[O:21])[C:22]([C:23](=[O:24])[O:25][H:44])=[C:26]3[N:27]4[C:28]([C:29]([H:46])([H:47])[H:48])([H:45])[S:30]3)[C:31]([H:49])([H:50])[C:32]2([H:51])[H:52])([H:36])[H:37])[O:6][C:4](=[O:5])[O:3]1)([H:33])([H:34])[H:35],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]]",15.49
3,3,3,[C:1]([C:2]([C:3]([H:33])([H:34])[H:35])([S:4](=[O:5])(=[O:6])[c:7]1[c:8]([H:36])[c:9]([H:37])[c:10](-[c:11]2[c:12]([H:38])[n:13][c:14]([N:15]([H:39])[H:40])[c:16]([C:17](=[O:18])[N:19]([c:20]3[c:21]([H:42])[c:22]([H:43])[c:23]([H:44])[c:24]([H:45])[c:25]3[H:46])[H:41])[n:26]2)[c:27]([H:47])[c:28]1[H:48])[H:32])([H:29])([H:30])[H:31],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48]]",10.0
4,4,4,[C:1]([S:2](=[O:3])(=[O:4])[c:5]1[c:6]([H:30])[c:7]([H:31])[c:8](-[c:9]2[c:10]([H:32])[n:11][c:12]([N:13]([H:33])[H:34])[c:14]([C:15](=[O:16])[N:17]([c:18]3[c:19]([H:36])[c:20]([H:37])[c:21]([H:38])[c:22]([H:39])[c:23]3[H:40])[H:35])[n:24]2)[c:25]([H:41])[c:26]1[H:42])([H:27])([H:28])[H:29],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42]]",4.17
5,6,6,[C:1]([C:2]([C:3]([C:4]([C:5]([H:39])([H:40])[H:41])([H:37])[H:38])([N:6]([C:7](=[O:8])[C:9]1=[C:19]([N:20]([S:21](=[O:22])(=[O:23])[c:24]2[c:25]([H:49])[c:26]([H:50])[c:27]([C:28]([H:51])([H:52])[H:53])[c:29]([H:54])[c:30]2[H:55])[H:48])[N:12]([c:13]2[c:14]([H:43])[c:15]([H:44])[c:16]([H:45])[c:17]([H:46])[c:18]2[H:47])[N:11]=[N:10]1)[H:42])[H:36])([H:34])[H:35])([H:31])([H:32])[H:33],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55]]",35.0
6,7,7,[C:1]([C@:2]([C:3]([O:4][H:29])([H:27])[H:28])([N:5]([c:6]1[n:7][c:8]([S:9][C:10]([C:11]2=[C:12]([H:33])[C:13]([H:34])=[C:14]([H:35])[O:15]2)([H:31])[H:32])[n:16][c:17]2[c:22]1[S:21][C:19]([N:20]([H:36])[H:37])=[N:18]2)[H:30])[H:26])([H:23])([H:24])[H:25],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37]]",5.0
7,8,8,[C:1]([O:2][c:3]1[c:4]([H:38])[c:5]([H:39])[c:6]([C:7]([N:8]([C:9]([c:10]2[c:11]([H:45])[c:12]([H:46])[c:13]([H:47])[c:14]([C:15]([C:16]([N:17]([C:18]([C@:19]([O:20][H:56])([c:21]3[c:22]([H:57])[c:23]([H:58])[c:24]([O:25][H:59])[c:26]4[c:31]3[S:30][C:28](=[O:29])[N:27]4[H:60])[H:55])([H:53])[H:54])[H:52])([H:50])[H:51])([H:48])[H:49])[c:32]2[H:61])([H:43])[H:44])[H:42])([H:40])[H:41])[c:33]([H:62])[c:34]1[H:63])([H:35])([H:36])[H:37],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]]",62.0
8,9,9,[C:1]([O:2][c:3]1[c:4]([H:38])[c:5]([H:39])[c:6]([H:40])[c:7]([C:8]([N:9]([C:10]([c:11]2[c:12]([H:46])[c:13]([H:47])[c:14]([H:48])[c:15]([C:16]([C:17]([N:18]([C:19]([C@:20]([O:21][H:57])([c:22]3[c:23]([H:58])[c:24]([H:59])[c:25]([O:26][H:60])[c:27]4[c:32]3[S:31][C:29](=[O:30])[N:28]4[H:61])[H:56])([H:54])[H:55])[H:53])([H:51])[H:52])([H:49])[H:50])[c:33]2[H:62])([H:44])[H:45])[H:43])([H:41])[H:42])[c:34]1[H:63])([H:35])([H:36])[H:37],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]]",35.0
9,10,10,[C:1]([O:2][c:3]1[c:4]([H:39])[c:5]([H:40])[c:6]([H:41])[c:7]([H:42])[c:8]1[C:9]([N:10]([C:11]([H:45])([H:46])[H:47])[C:12]([c:13]1[c:14]([H:50])[c:15]([H:51])[c:16]([H:52])[c:17]([C:18]([C:19]([N:20]([C:21]([C@:22]([O:23][H:61])([c:24]2[c:25]([H:62])[c:26]([H:63])[c:27]([O:28][H:64])[c:29]3[c:34]2[S:33][C:31](=[O:32])[N:30]3[H:65])[H:60])([H:58])[H:59])[H:57])([H:55])[H:56])([H:53])[H:54])[c:35]1[H:66])([H:48])[H:49])([H:43])[H:44])([H:36])([H:37])[H:38],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66]]",45.0
