,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([C:2]([N:3]1[C:4]([S:5][C:6]([C:7](=[O:8])[N:9]([C:10]2=[N:15][O:14][C:12]([C:13]([H:34])([H:35])[H:36])=[C:11]2[H:33])[H:32])([H:30])[H:31])=[N:16][N:17]=[C:18]1[c:19]1[c:20]([H:37])[c:21]([H:38])[c:22]([H:39])[n:23][c:24]1[H:40])([H:28])[H:29])([H:25])([H:26])[H:27],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]]",75.86
1,1,1,[C:1]([N:2]([C:3](=[O:4])[c:5]1[c:6]([F:7])[c:8]([H:44])[c:9]([H:45])[c:10]([H:46])[c:11]1[N:12]([c:13]1[n:14][c:15]([N:16]([c:17]2[c:18]([H:49])[c:19]3[c:20]([c:21]([H:50])[c:22]2[O:23][C:24]([H:51])([H:52])[H:53])[C:25]([H:54])([H:55])[C:26]([H:56])([H:57])[N:27]3[C:28](=[O:29])[C:30]([N:31]([C:32]([H:60])([H:61])[H:62])[C:33]([H:63])([H:64])[H:65])([H:58])[H:59])[H:48])[n:34][c:35]2[c:39]1[C:38]([H:68])=[C:37]([H:67])[N:36]2[H:66])[H:47])[H:43])([H:40])([H:41])[H:42],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68]]",21.88
2,2,2,[C:1]([c:2]1[c:3]([H:37])[c:4]([C:5]([N:6]2[C:7]([H:40])([H:41])[c:8]3[c:9]([H:42])[c:10]([H:43])[c:11]([H:44])[c:12]([H:45])[c:13]3[C:14]2([C:15](=[O:16])[N:17]([c:18]2[c:19]([H:48])[c:20]([H:49])[c:21]([Cl:22])[c:23]([H:50])[c:24]2[Cl:25])[H:47])[H:46])([H:38])[H:39])[c:26]([H:51])[c:27]([H:52])[c:28]1[O:29][C:30]([C:31](=[O:32])[O:33][H:55])([H:53])[H:54])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55]]",15.0
3,3,3,[C:1]([N:2]1[C:3]([H:30])([H:31])[C:4]([H:32])([H:33])[C:5]([H:34])([H:35])[C@:6]1([C:7]([C:8]([N:9]1[C:10]([H:41])([H:42])[C:11]([H:43])([H:44])[C:12]([H:45])([H:46])[c:13]2[c:14]([H:47])[c:15]([N:16]([C:17](=[N:18][H:49])[C:19]3=[C:20]([H:50])[C:21]([H:51])=[C:22]([H:52])[S:23]3)[H:48])[c:24]([H:53])[c:25]([H:54])[c:26]21)([H:39])[H:40])([H:37])[H:38])[H:36])([H:27])([H:28])[H:29],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54]]",40.74
4,4,4,[C:1]([C@:2]([C:3]([O:4][H:31])([H:29])[H:30])([N:5]([c:6]1[n:7][c:8]([S:9][C:10]([c:11]2[c:12]([H:35])[c:13]([H:36])[c:14]([H:37])[c:15]([F:16])[c:17]2[F:18])([H:33])[H:34])[n:19][c:20]2[c:24]1[C:23]([H:39])=[N:22][N:21]2[H:38])[H:32])[H:28])([H:25])([H:26])[H:27],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]]",17.78
5,5,5,[C:1]([c:2]1[c:3]([H:43])[c:4]([H:44])[c:5]([N:6]2[N:7]=[C:8]([C:9]([C:10]([H:45])([H:46])[H:47])([C:11]([H:48])([H:49])[H:50])[C:12]([H:51])([H:52])[H:53])[C:13]([H:54])=[C:14]2[N:15]([C:16](=[O:17])[N:18]([c:19]2[c:20]([H:57])[c:21]([H:58])[c:22]([O:23][C:24]([C:25]([N:26]3[C:27]([H:63])([H:64])[C:28]([H:65])([H:66])[O:29][C:30]([H:67])([H:68])[C:31]3([H:69])[H:70])([H:61])[H:62])([H:59])[H:60])[c:32]3[c:33]([H:71])[c:34]([H:72])[c:35]([H:73])[c:36]([H:74])[c:37]23)[H:56])[H:55])[c:38]([H:75])[c:39]1[H:76])([H:40])([H:41])[H:42],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76]]",69.18
6,6,6,[C:1]([c:2]1[c:3]([H:43])[c:4]([H:44])[c:5]([N:6]2[N:7]=[C:8]([C:9]([C:10]([H:45])([H:46])[H:47])([C:11]([H:48])([H:49])[H:50])[C:12]([H:51])([H:52])[H:53])[C:13]([H:54])=[C:14]2[N:15]([C:16](=[O:17])[N:18]([c:19]2[c:20]([H:57])[c:21]([H:58])[c:22]([O:23][C:24]([C:25]([N:26]3[C:27]([H:63])([H:64])[C:28]([H:65])([H:66])[O:29][C:30]([H:67])([H:68])[C:31]3([H:69])[H:70])([H:61])[H:62])([H:59])[H:60])[c:32]3[c:33]([H:71])[c:34]([H:72])[c:35]([H:73])[c:36]([H:74])[c:37]23)[H:56])[H:55])[c:38]([H:75])[c:39]1[H:76])([H:40])([H:41])[H:42],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76]]",42.66
7,7,7,[O:1]=[C:2]([O:3][H:29])[C:4]([O:5][c:6]1[c:7]([H:32])[c:8]([H:33])[c:9]([Cl:10])[c:11]([H:34])[c:12]1[C:13]([N:14]1[C:15]([H:37])([H:38])[C:16]([H:39])([H:40])[C:17]([S:18](=[O:19])(=[O:20])[c:21]2[c:22]([H:42])[c:23]([H:43])[c:24]([H:44])[c:25]([H:45])[c:26]2[H:46])([H:41])[C:27]([H:47])([H:48])[C:28]1([H:49])[H:50])([H:35])[H:36])([H:30])[H:31],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50]]",3.0
8,8,8,[C:1]([C:2]([N:3]([C:4]([C:5]([H:31])([H:32])[H:33])([H:29])[H:30])[C:6]([C:7]([N:8]1[c:9]2[c:10]([H:38])[c:11]([H:39])[c:12]([H:40])[c:13]([H:41])[c:14]2-[c:15]2[c:16]([H:42])[n:17][c:18]([N:19]([H:43])[H:44])[c:20]([C:21]#[N:22])[c:23]21)([H:36])[H:37])([H:34])[H:35])([H:27])[H:28])([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]]",77.0
9,9,9,[C:1]([O:2][c:3]1[c:4]([H:34])[c:5]([C:6]([C:7]([O:8][H:38])([H:36])[H:37])([C:9]([O:10][H:41])([H:39])[H:40])[H:35])[c:11]([H:42])[c:12]([H:43])[c:13]1[N:14]([c:15]1[n:16][c:17]([H:45])[c:18]([Cl:19])[c:20]([C:21]2=[C:22]([H:46])[N:23]=[C:24]3[C:25]([H:47])=[C:26]([H:48])[C:27]([H:49])=[C:28]([H:50])[N:29]23)[n:30]1)[H:44])([H:31])([H:32])[H:33],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50]]",19.95
10,10,10,[C:1]([C@:2]([C:3]([S:4][H:21])([H:19])[H:20])([C:5](=[O:6])[N:7]1[C:8]([H:22])([H:23])[C:9]([H:24])([H:25])[C:10]([H:26])([H:27])[C@:11]1([C:12](=[O:13])[O:14][H:29])[H:28])[H:18])([H:15])([H:16])[H:17],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29]]",57.11
11,11,11,[O:1]=[C:2]([N:3]([C:4]1=[N:5][c:6]2[c:7]([H:20])[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]2[S:12]1)[H:19])[c:13]1[c:14]([H:24])[c:15]([H:25])[c:16]([H:26])[c:17]([H:27])[c:18]1[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]]",64.57
12,12,12,[C:1]([O:2][c:3]1[c:4]([H:24])[c:5]([H:25])[c:6]([H:26])[c:7]2[c:20]1[N:19]=[C:9]([N:10]([C:11](=[O:12])[c:13]1[c:14]([H:28])[c:15]([H:29])[c:16]([H:30])[c:17]([H:31])[c:18]1[H:32])[H:27])[S:8]2)([H:21])([H:22])[H:23],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]]",16.0
13,13,13,[O:1]=[C:2]([N:3]([C:4]1=[N:5][c:6]2[c:7]([H:20])[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]2[S:12]1)[H:19])[c:13]1[c:14]([H:24])[c:15]([H:25])[c:16]([H:26])[c:17]([H:27])[c:18]1[H:28],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]]",77.62
