,,reaction_id,smiles,reaction_core,activation_energy
0,0,0,[C:1]([C:2]1=[N:3][N:4]([c:5]2[c:6]([H:32])[c:7]([H:33])[c:8]([H:34])[c:9]([H:35])[c:10]2[H:36])[C:11]([N:12]([C:13](=[O:14])[N:15]([S:16](=[O:17])(=[O:18])[c:19]2[c:20]([H:39])[c:21]([H:40])[c:22]([Cl:23])[c:24]([H:41])[c:25]2[H:42])[H:38])[H:37])=[C:26]1[C:27]#[N:28])([H:29])([H:30])[H:31],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42]]",3.0
1,1,1,[O:1]=[C:2]1[N:3]([H:32])[c:4]2[c:5]([O:6][H:33])[c:7]([H:34])[c:8]([H:35])[c:9]([C@@:10]([O:11][H:37])([C:12]([N:13]([C:14]([C:15]([C:16]([O:17][C:18]([C:19]([N:20]([C:21]([C:22]([c:23]3[c:24]([H:56])[c:25]([H:57])[c:26]([H:58])[c:27]([Cl:28])[c:29]3[H:59])([H:54])[H:55])([H:52])[H:53])[H:51])([H:49])[H:50])([H:47])[H:48])([H:45])[H:46])([H:43])[H:44])([H:41])[H:42])[H:40])([H:38])[H:39])[H:36])[c:30]2[S:31]1,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]]",3.0
2,2,2,[N:1](=[C:2]([N:3]([H:17])[H:18])[N:4]([C:5](=[O:6])[c:7]1[n:8][c:9]([Cl:10])[c:11]([N:12]([H:20])[H:21])[n:13][c:14]1[N:15]([H:22])[H:23])[H:19])[H:16],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]]",3.0
3,3,3,[C:1]([O:2][c:3]1[c:4]([H:31])[c:5]([H:32])[c:6]2[c:7]([c:8]1[H:33])[C:9]([C:10]([C:11](=[O:12])[O:13][H:36])([H:34])[H:35])=[C:14]([C:15]([H:37])([H:38])[H:39])[N:16]2[c:17]1[c:18]([H:40])[c:19]([H:41])[n:20][c:21]2[c:22]([H:42])[c:23]([Cl:24])[c:25]([H:43])[c:26]([H:44])[c:27]12)([H:28])([H:29])[H:30],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]]",3.0
4,4,4,[C:1](=[C:2]([C:3](=[O:4])[N:5]([c:6]1[c:7]([H:50])[c:8]([H:51])[c:9]([H:52])[c:10]([C:11]([N:12]2[C:13](=[O:14])[N:15]([c:16]3[c:17]([Cl:18])[c:19]([O:20][C:21]([H:55])([H:56])[H:57])[c:22]([H:58])[c:23]([O:24][C:25]([H:59])([H:60])[H:61])[c:26]3[Cl:27])[C:28]([H:62])([H:63])[c:29]3[c:30]([H:64])[n:31][c:32]([N:33]([C:34]([C:35]([C:36]([C:37]([N:38]([C:39]([C:40]([H:76])([H:77])[H:78])([H:74])[H:75])[C:41]([C:42]([H:81])([H:82])[H:83])([H:79])[H:80])([H:72])[H:73])([H:70])[H:71])([H:68])[H:69])([H:66])[H:67])[H:65])[n:43][c:44]32)([H:53])[H:54])[c:45]1[H:84])[H:49])[H:48])([H:46])[H:47],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84]]",87.1
5,5,5,[C:1]([c:2]1[c:3]([H:37])[c:4]([H:38])[c:5]([N:6]([C:7](=[O:8])[C:9]2=[C:10]([H:40])[C:11]([H:41])=[N:12][O:13]2)[H:39])[c:14]([H:42])[c:15]1[N:16]1[C:17]([H:43])=[N:18][c:19]2[c:20]([H:44])[c:21]([H:45])[c:22]([N:23]3[C:24]([H:46])([H:47])[C:25]([H:48])([H:49])[N:26]([C:27]([H:50])([H:51])[H:52])[C:28]([H:53])([H:54])[C:29]3([H:55])[H:56])[c:30]([H:57])[c:31]2[C:32]1=[O:33])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57]]",3.0
6,6,6,[C:1]([N:2]([C:3](=[O:4])[c:5]1[c:6]([H:42])[c:7]([H:43])[c:8]([H:44])[c:9]([N:10]([C:11](=[O:12])[N:13]([c:14]2[c:15]([H:47])[c:16]([H:48])[c:17]([H:49])[c:18]([C:19]#[N:20])[c:21]2[H:50])[H:46])[H:45])[c:22]1[C:23]([N:24]1[C:25]([H:53])([H:54])[C:26]([H:55])([H:56])[C:27]([C:28]([c:29]2[c:30]([H:60])[c:31]([H:61])[c:32]([F:33])[c:34]([H:62])[c:35]2[H:63])([H:58])[H:59])([H:57])[C:36]([H:64])([H:65])[C:37]1([H:66])[H:67])([H:51])[H:52])[H:41])([H:38])([H:39])[H:40],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67]]",14.0
7,7,7,[C:1]([C:2]1([H:28])[S:3][C:4]2=[C:5]([C:6](=[O:7])[O:8][H:29])[C:9](=[O:10])[c:11]3[c:12]([H:30])[c:13]([F:14])[c:15]([N:16]4[C:17]([H:31])([H:32])[C:18]([H:33])([H:34])[N:19]([H:35])[C:20]([H:36])([H:37])[C:21]4([H:38])[H:39])[c:22]([H:40])[c:23]3[N:24]12)([H:25])([H:26])[H:27],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]]",13.8
8,8,8,[C:1]([C:2]([O:3][C:4]1=[N:5][c:6]2[c:7]([H:39])[c:8]([H:40])[c:9]([H:41])[c:10]([C:11](=[O:12])[O:13][H:42])[c:14]2[N:15]1[C:16]([c:17]1[c:18]([H:45])[c:19]([H:46])[c:20](-[c:21]2[c:22]([H:47])[c:23]([H:48])[c:24]([H:49])[c:25]([H:50])[c:26]2[C:27]2=[N:28][N:29]=[N:30][N:31]2[H:51])[c:32]([H:52])[c:33]1[H:53])([H:43])[H:44])([H:37])[H:38])([H:34])([H:35])[H:36],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53]]",3.0
9,9,9,[N:1]([C:2](=[O:3])[N:4]([C:5](=[O:6])[C:7]([N:8]([c:9]1[c:10]([H:29])[c:11]([H:30])[c:12]2[c:13]([c:14]1[H:31])[C:15]([H:32])([H:33])[C:16]([H:34])([H:35])[C:17]2([H:36])[H:37])[H:28])([c:18]1[c:19]([H:38])[c:20]([H:39])[c:21]([H:40])[c:22]([H:41])[c:23]1[H:42])[H:27])[H:26])([H:24])[H:25],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42]]",27.54
10,10,10,[C:1]([c:2]1[c:3]([H:36])[c:4]([H:37])[c:5]([S:6](=[O:7])(=[O:8])[N:9]([C:10]2=[C:11]([C:12](=[O:13])[N:14]([C@@:15]([C:16]([H:41])([H:42])[H:43])([C:17]([C:18]([H:44])([H:45])[H:46])([C:19]([H:47])([H:48])[H:49])[C:20]([H:50])([H:51])[H:52])[H:40])[H:39])[C:21]([C:22]([H:53])([H:54])[H:55])=[N:23][N:24]2[C:25]2([H:56])[C:26]([H:57])([H:58])[C:27]([H:59])([H:60])[C:28]([H:61])([H:62])[C:29]([H:63])([H:64])[C:30]2([H:65])[H:66])[H:38])[c:31]([H:67])[c:32]1[H:68])([H:33])([H:34])[H:35],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68]]",33.0
11,11,11,[C:1]([C:2]([C:3]([C:4]1=[N:5][c:6]2[c:7]([C:8]([H:47])([H:48])[H:49])[c:9]([H:50])[c:10]([C:11]3=[N:12][c:13]4[c:14]([H:51])[c:15]([H:52])[c:16]([H:53])[c:17]([H:54])[c:18]4[N:19]3[C:20]([H:55])([H:56])[H:57])[c:21]([H:58])[c:22]2[N:23]1[C:24]([c:25]1[c:26]([H:61])[c:27]([H:62])[c:28](-[c:29]2[c:30]([H:63])[c:31]([H:64])[c:32]([H:65])[c:33]([H:66])[c:34]2[C:35](=[O:36])[O:37][H:67])[c:38]([H:68])[c:39]1[H:69])([H:59])[H:60])([H:45])[H:46])([H:43])[H:44])([H:40])([H:41])[H:42],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69]]",3.0
12,12,12,[C:1]([C:2]1=[N:3][C:4]([C:5]([S:6][c:7]2[n:8][c:9]([N:10]([C@:11]([C:12]([H:31])([H:32])[H:33])([C:13]([O:14][H:36])([H:34])[H:35])[H:30])[H:29])[c:15]3[c:20]([n:21]2)[N:19]=[C:17]([N:18]([H:37])[H:38])[S:16]3)([H:27])[H:28])=[C:22]([H:39])[S:23]1)([H:24])([H:25])[H:26],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]]",3.0
13,13,13,[C:1]([S:2](=[O:3])(=[O:4])[c:5]1[c:6]([H:41])[c:7]([H:42])[c:8]2[c:36]([c:37]1[H:64])[C:34](=[O:35])[N:33]([H:63])[C:32]([H:62])=[C:9]2[C:10](=[O:11])[N:12]([C:13]([C@@:14]([O:15][H:47])([C:16]([N:17]1[C:18]([H:50])([H:51])[C:19]([H:52])([H:53])[C:20]([O:21][c:22]2[c:23]([H:55])[c:24]([H:56])[c:25]([Cl:26])[c:27]([Cl:28])[c:29]2[H:57])([H:54])[C:30]([H:58])([H:59])[C:31]1([H:60])[H:61])([H:48])[H:49])[H:46])([H:44])[H:45])[H:43])([H:38])([H:39])[H:40],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]]",6.0
14,14,14,[N:1]([C:2](=[O:3])[c:4]1[c:5]([O:6][C:7]2([H:39])[C:8]([H:40])([H:41])[C:9]([H:42])([H:43])[N:10]([C:11]([C@:12]([O:13][H:47])([C:14]([N:15]([C:16](=[O:17])[C:18]3=[C:19]([H:51])[N:20]([H:52])[C:21](=[O:22])[c:23]4[c:24]([H:53])[c:25]([H:54])[c:26]([H:55])[c:27]([H:56])[c:28]43)[H:50])([H:48])[H:49])[H:46])([H:44])[H:45])[C:29]([H:57])([H:58])[C:30]2([H:59])[H:60])[c:31]([H:61])[c:32]([H:62])[c:33]([Cl:34])[c:35]1[Cl:36])([H:37])[H:38],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62]]",10.0
15,15,15,[C:1]([c:2]1[c:3]([Cl:4])[c:5]([H:42])[c:6]([H:43])[c:7]([O:8][C:9]2([H:44])[C:10]([H:45])([H:46])[C:11]([H:47])([H:48])[N:12]([C:13]([C@:14]([O:15][H:52])([C:16]([N:17]([C:18](=[O:19])[C:20]3=[C:21]([H:56])[N:22]([H:57])[C:23](=[O:24])[c:25]4[c:26]([H:58])[c:27]([H:59])[c:28]([S:29]([C:30]([H:60])([H:61])[H:62])(=[O:31])=[O:32])[c:33]([H:63])[c:34]43)[H:55])([H:53])[H:54])[H:51])([H:49])[H:50])[C:35]([H:64])([H:65])[C:36]2([H:66])[H:67])[c:37]1[Cl:38])([H:39])([H:40])[H:41],"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67]]",3.0
16,16,16,[O:1]=[C:2]([N:3]([C:4]([C@@:5]([O:6][H:38])([C:7]([N:8]1[C:9]([H:41])([H:42])[C:10]([H:43])([H:44])[C:11]([O:12][c:13]2[c:14]([H:46])[c:15]([H:47])[c:16]([Cl:17])[c:18]([Cl:19])[c:20]2[H:48])([H:45])[C:21]([H:49])([H:50])[C:22]1([H:51])[H:52])([H:39])[H:40])[H:37])([H:35])[H:36])[H:34])[C:23]1=[C:24]([H:53])[N:25]([H:54])[C:26](=[O:27])[c:28]2[c:29]([H:55])[c:30]([H:56])[c:31]([H:57])[c:32]([H:58])[c:33]21,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58]]",17.25
